"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2019,Synthetic Gas,Residential,Space Heating,2.119760147927067
2019,Synthetic Gas,Residential,Water Heating,1.5081016920305093
2020,Biomass,Industry,Industrial Processes,85.59213691945679
2020,Biomass,Residential,Space Heating,217.0882056258567
2020,Biomass,Residential,Water Heating,587.8764722007786
2020,Bio Methane,Commercial,Auxiliary Equipment,99.91916089770976
2020,Bio Methane,Commercial,Space Cooling,24.065043784499967
2020,Bio Methane,Commercial,Space Heating,292.2758149687011
2020,Bio Methane,Commercial,Water Heating,188.26732965121852
2020,Bio Methane,Public,Auxiliary Equipment,28.7312696248519
2020,Bio Methane,Public,Space Cooling,30.67239136525979
2020,Bio Methane,Public,Space Heating,74.06667232953544
2020,Bio Methane,Public,Water Heating,73.84095178944301
2020,Bio Methane,Residential,Space Heating,148.55976959288722
2020,Bio Methane,Residential,Water Heating,107.76998908030706
2020,Wood Pellet,Residential,Space Heating,1.0376496462622213
2020,Wood Pellet,Residential,Water Heating,605.683137178995
2020,Coal,Industry,Industrial Processes,98.53907264608169
2020,District Cooling,Commercial,Space Cooling,1259.38673556649
2020,District Cooling,Public,Space Cooling,274.5190860921553
2020,District Cooling,Residential,Space Cooling,88.6514403210869
2020,District Heating,Commercial,Space Heating,3550.080183988007
2020,District Heating,Commercial,Water Heating,625.9159639590296
2020,District Heating,Public,Space Heating,1512.9418303297316
2020,District Heating,Public,Water Heating,317.20876044262013
2020,District Heating,Residential,Space Heating,114.89820563577801
2020,District Heating,Residential,Water Heating,913.244239546418
2020,Electricity,Commercial,Auxiliary Equipment,17627.621991638774
2020,Electricity,Commercial,Auxiliary Motors,2263.071585333509
2020,Electricity,Commercial,Lighting,30517.833593722324
2020,Electricity,Commercial,Space Cooling,2965.102466095905
2020,Electricity,Commercial,Space Heating,1950.5865838488348
2020,Electricity,Commercial,Street Lighting,505.29998284714253
