"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2017,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1812.6537012598178
2017,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.08377653157858
2017,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,94.11435169214427
2017,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,126.73191605622574
2017,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,342.628300082391
2017,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,95.88282997424369
2017,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,791.6909800620248
2017,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,229.6042733484033
2017,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,737.3051764932414
2017,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,13.644670318112233
2017,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,13.55306273624773
2017,Residential,Old,Range,___,___,Electricity,Standard,TJ,1434.4609068603056
2017,Residential,Old,Range,___,___,Natural Gas,Standard,TJ,63.94911281053218
2017,Residential,Old,Refrigerator,___,___,Electricity,Standard,TJ,1077.1739500451702
2017,Residential,Old,Space Cooling,Central,___,Electricity,Standard,TJ,10302.012772891469
2017,Residential,Old,Space Cooling,Room,___,Electricity,Standard,TJ,602.4071221057872
2017,Residential,Old,Space Cooling,___,___,District Cooling,___,TJ,48.122033428044006
2017,Residential,Old,Space Heating,Furnace,___,Biomass,Standard,TJ,158.21630774878744
2017,Residential,Old,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.3777190255924769
2017,Residential,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.303287164020758
2017,Residential,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,486.9592860074264
2017,Residential,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,38598.906238642325
2017,Residential,Old,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12416.375801321627
2017,Residential,Old,Space Heating,Furnace,___,Propane,Standard,TJ,0.3593563387379318
2017,Residential,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3901.233104833706
2017,Residential,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,2069.155591237145
2017,Residential,Old,Space Heating,___,___,District Heating,___,TJ,48.73972151264297
2017,Residential,Old,Water Heating,___,___,Biomass,Standard,TJ,10.293448651236773
2017,Residential,Old,Water Heating,___,___,Wood Pellet,Standard,TJ,10.659020829187563
2017,Residential,Old,Water Heating,___,___,District Heating,___,TJ,996.1004759182094
2017,Residential,Old,Water Heating,___,___,Electricity,Standard,TJ,711.6672776365295
2017,Residential,Old,Water Heating,___,___,Kerosene,Standard,TJ,10.47300672934262
2017,Residential,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,97.13242041597249
2017,Residential,Old,Water Heating,___,___,Natural Gas,Standard,TJ,15771.280108045317
2017,Residential,Old,Water Heating,___,___,Propane,Standard,TJ,10.563577886798926
2018,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17413.566543853114
2018,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1744.954236609637
2018,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,971.2796354170194
2018,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2180.126351146893
2018,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1322.929304247336
2018,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9716.152831488887
2018,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2845.219605307796
2018,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9137.975695564806
2018,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.11270345947975
2018,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,66.51083370724866
2018,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1298.1355618050975
2018,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9454.503571136825
2018,Commercial,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,440.91760923708813
2018,Commercial,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,2.1127645384223532
2018,Commercial,Old,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,3.700178082358413
2018,Commercial,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,3.6990879103638807
2018,Commercial,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,155.59602999156726
2018,Commercial,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,9.211235280578117
2018,Commercial,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29035.431584662372
2018,Commercial,Old,Space Heating,Furnace,___,Propane,Standard,TJ,826.6038677112933
2018,Commercial,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,1553.4164599054293
2018,Commercial,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,902.9764273070363
2018,Commercial,Old,Space Heating,___,___,District Heating,___,TJ,3325.410417320416
2018,Commercial,Old,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1472.5265732007383
2018,Commercial,Old,Water Heating,___,___,District Heating,___,TJ,554.0490575800361
2018,Commercial,Old,Water Heating,___,___,Electricity,Standard,TJ,164.06019530631937
2018,Commercial,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,22.364054242880908
2018,Commercial,Old,Water Heating,___,___,Kerosene,Standard,TJ,22.363731007831163
2018,Commercial,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,184.61425183065202
2018,Commercial,Old,Water Heating,___,___,Natural Gas,Standard,TJ,4908.5314745995365
2018,Commercial,Old,Water Heating,___,___,Propane,Standard,TJ,70.17535732597693
2018,Industry,,Industrial Processes,Self produced,,Mix Energy,,TJ,30598.656635278385
2018,Industry,,Lighting,Self produced,,Mix Energy,,TJ,651.0352475588543
2018,Industry,,Space Cooling,Self produced,,Mix Energy,,TJ,1410.5763697108562
2018,Industry,,Space Heating,Self produced,,Mix Energy,,TJ,1562.484594146285
2018,Industry,,Water Heating,Self produced,,Mix Energy,,TJ,4088.501354674835
2018,Public,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2036.6577759480388
2018,Public,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,251.88703568590887
2018,Public,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,514.1646985055806
2018,Public,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.41960040633268
2018,Public,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,637.0120296237118
2018,Public,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,186.42354656613574
2018,Public,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,598.7221501035765
2018,Public,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.761203761425038
2018,Public,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,4.073343134649231
2018,Public,Old,Space Cooling,___,___,District Cooling,___,TJ,251.92505087313475
2018,Public,Old,Space Cooling,___,___,Electricity,Standard,TJ,4175.447260371074
2018,Public,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,583.7361959125753
2018,Public,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,281.1562315381121
2018,Public,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,269.9244316577872
2018,Public,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,0.009718469041845477
2018,Public,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5882.327323894467
2018,Public,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,496.6953275856197
2018,Public,Old,Space Heating,___,___,District Heating,___,TJ,1501.455528362296
2018,Public,Old,Water Heating,___,___,District Heating,___,TJ,320.01089043343114
2018,Public,Old,Water Heating,___,___,Electricity,Standard,TJ,29.20972262603611
2018,Public,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.4981815939684937
2018,Public,Old,Water Heating,___,___,Kerosene,Standard,TJ,0.4981924697266468
2018,Public,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,50.67224183990427
2018,Public,Old,Water Heating,___,___,Natural Gas,Standard,TJ,805.5718540947819
2018,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3673.4665937030827
2018,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1875.544020831477
2018,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,82.68459132732782
2018,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,95.15869776440522
2018,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,128.13820506925939
2018,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,346.43029747161455
2018,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,94.11788109793423
2018,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,796.1789776082377
2018,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,231.10423659405944
2018,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,742.304917232208
2018,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,15.70224422752062
2018,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,15.174724407047183
2018,Residential,Old,Range,___,___,Electricity,Standard,TJ,1451.0805256578362
2018,Residential,Old,Range,___,___,Natural Gas,Standard,TJ,63.95669900646604
2018,Residential,Old,Refrigerator,___,___,Electricity,Standard,TJ,1089.1268813816123
2018,Residential,Old,Space Cooling,Central,___,Electricity,Standard,TJ,10306.43338081413
2018,Residential,Old,Space Cooling,Room,___,Electricity,Standard,TJ,641.2889512989782
2018,Residential,Old,Space Cooling,___,___,District Cooling,___,TJ,87.37214250433777
2018,Residential,Old,Space Heating,Furnace,___,Biomass,Standard,TJ,159.59943204985282
2018,Residential,Old,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.5272091794028881
2018,Residential,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.3978804318020485
2018,Residential,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,131.94227646015216
2018,Residential,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,38680.320740573465
2018,Residential,Old,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12481.737471338907
2018,Residential,Old,Space Heating,Furnace,___,Propane,Standard,TJ,0.4948596183070623
2018,Residential,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3929.930598628894
2018,Residential,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,2283.6979729288305
2018,Residential,Old,Space Heating,___,___,District Heating,___,TJ,192.48378988989745
2018,Residential,Old,Water Heating,___,___,Biomass,Standard,TJ,255.85276262431051
2018,Residential,Old,Water Heating,___,___,Wood Pellet,Standard,TJ,264.5920638158741
2018,Residential,Old,Water Heating,___,___,District Heating,___,TJ,836.1802679286061
2018,Residential,Old,Water Heating,___,___,Electricity,Standard,TJ,786.5384257935345
2018,Residential,Old,Water Heating,___,___,Kerosene,Standard,TJ,235.66498867799467
2018,Residential,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,280.6206962187857
2018,Residential,Old,Water Heating,___,___,Natural Gas,Standard,TJ,14887.082233128109
2018,Residential,Old,Water Heating,___,___,Propane,Standard,TJ,262.3125429436359
2019,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17511.736002450252
2019,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1761.3758902339202
2019,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,980.1963312001108
2019,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2193.3210047610205
2019,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1334.1291289214773
2019,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9764.384405683546
2019,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2862.4412261682473
2019,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9193.555254633384
2019,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.13250284327632
2019,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,74.80088612956922
2019,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1305.738000393745
2019,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9508.803190053351
