GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2019,CO2,Commercial,Information and Cultural Industries,Old,13573.964354040274
2019,CO2,Commercial,Offices,Old,976241.9120935156
2019,CO2,Commercial,Other Services,Old,113511.13929754369
2019,CO2,Commercial,Retail Trade,Old,351373.05868239485
2019,CO2,Commercial,Transportation and Warehousing,Old,61294.14510067728
2019,CO2,Commercial,Wholesale Trade,Old,218222.76161810703
2019,CO2,Industry,,,825227.141577966
2019,CO2,Public,Hospital,Old,95259.57263187904
2019,CO2,Public,Municipality,Old,76559.06359358614
2019,CO2,Public,Post-Secondary Institution,Old,141954.4103418022
2019,CO2,Public,School board,Old,142601.39381311074
2019,CO2,Residential,Apartments,Old,1459523.7212409596
2019,CO2,Residential,Single Attached,Old,736538.9176456115
2019,CO2,Residential,Single Detached,Old,1660192.371288822
2019,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,93887.49738074951
2019,CO2e,Commercial,Accommodation and Food Services,Old,109731.49327827217
2019,CO2e,Commercial,Educational Services,Old,278518.8614184143
2019,CO2e,Commercial,Health Care and Social Assistance,Old,175917.33288404462
2019,CO2e,Commercial,Information and Cultural Industries,Old,13671.873496949755
2019,CO2e,Commercial,Offices,Old,983799.3780671222
2019,CO2e,Commercial,Other Services,Old,114271.75958214387
2019,CO2e,Commercial,Retail Trade,Old,353733.0390094249
2019,CO2e,Commercial,Transportation and Warehousing,Old,61728.63542357465
2019,CO2e,Commercial,Wholesale Trade,Old,219736.99904331367
2019,CO2e,Industry,,,830166.7786114392
2019,CO2e,Public,Hospital,Old,95791.97833230645
2019,CO2e,Public,Municipality,Old,77027.47453752422
2019,CO2e,Public,Post-Secondary Institution,Old,142798.62738266354
2019,CO2e,Public,School board,Old,143469.06317353377
2019,CO2e,Residential,Apartments,Old,1479081.3311005388
2019,CO2e,Residential,Single Attached,Old,745054.3508288756
2019,CO2e,Residential,Single Detached,Old,1678159.1595625177
2019,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.017997472177502
2019,N2O,Commercial,Accommodation and Food Services,Old,2.3746571636569174
2019,N2O,Commercial,Educational Services,Old,5.979795543577183
2019,N2O,Commercial,Health Care and Social Assistance,Old,3.8717864697186313
2019,N2O,Commercial,Information and Cultural Industries,Old,0.3088849426898083
2019,N2O,Commercial,Offices,Old,24.0406425710607
2019,N2O,Commercial,Other Services,Old,2.394598457188492
2019,N2O,Commercial,Retail Trade,Old,7.438273452354589
2019,N2O,Commercial,Transportation and Warehousing,Old,1.3724998366165664
2019,N2O,Commercial,Wholesale Trade,Old,4.78015466850389
2019,N2O,Industry,,,15.422357910094457
2019,N2O,Public,Hospital,Old,1.6658066052094205
2019,N2O,Public,Municipality,Old,1.4628770518759657
2019,N2O,Public,Post-Secondary Institution,Old,2.6381464075322847
2019,N2O,Public,School board,Old,2.709782318333102
2019,N2O,Residential,Apartments,Old,32.107389702619486
2019,N2O,Residential,Single Attached,Old,15.507904193833106
2019,N2O,Residential,Single Detached,Old,34.28870955899721
2020,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8647168096630855
2020,CH4,Commercial,Accommodation and Food Services,Old,2.168679659553145
2020,CH4,Commercial,Educational Services,Old,5.430307982291738
2020,CH4,Commercial,Health Care and Social Assistance,Old,3.467106452511649
2020,CH4,Commercial,Information and Cultural Industries,Old,0.2791795296089402
2020,CH4,Commercial,Offices,Old,18.91066936203659
2020,CH4,Commercial,Other Services,Old,2.27357968130233
2020,CH4,Commercial,Retail Trade,Old,6.903138585525576
2020,CH4,Commercial,Transportation and Warehousing,Old,1.2327646847292755
2020,CH4,Commercial,Wholesale Trade,Old,4.321305263544989
2020,CH4,Industry,,,16.389137168244243
2020,CH4,Public,Hospital,Old,1.754188418488826
2020,CH4,Public,Municipality,Old,1.581290009975555
2020,CH4,Public,Post-Secondary Institution,Old,2.7980043454552477
2020,CH4,Public,School board,Old,3.0245670057212384
2020,CH4,Residential,Apartments,Old,528.2806469403935
2020,CH4,Residential,Single Attached,Old,186.99862760265927
2020,CH4,Residential,Single Detached,Old,369.6952236926593
2020,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94323.70080989723
2020,CO2,Commercial,Accommodation and Food Services,Old,109825.51252310713
2020,CO2,Commercial,Educational Services,Old,279442.2005511847
2020,CO2,Commercial,Health Care and Social Assistance,Old,176930.48328067406
2020,CO2,Commercial,Information and Cultural Industries,Old,13643.199275065503
2020,CO2,Commercial,Offices,Old,984746.5226883858
2020,CO2,Commercial,Other Services,Old,115222.9341182378
2020,CO2,Commercial,Retail Trade,Old,354993.1946666377
2020,CO2,Commercial,Transportation and Warehousing,Old,62292.96671601202
2020,CO2,Commercial,Wholesale Trade,Old,220338.6795426068
2020,CO2,Industry,,,826181.3468180001
2020,CO2,Public,Hospital,Old,96534.38442791613
2020,CO2,Public,Municipality,Old,77990.35707470923
2020,CO2,Public,Post-Secondary Institution,Old,143304.00940482735
2020,CO2,Public,School board,Old,148481.46855326972
2020,CO2,Residential,Apartments,Old,1481041.3133057815
2020,CO2,Residential,Single Attached,Old,733664.732190174
2020,CO2,Residential,Single Detached,Old,1649769.2225875128
2020,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,94972.54477517656
2020,CO2e,Commercial,Accommodation and Food Services,Old,110587.10739764731
2020,CO2e,Commercial,Educational Services,Old,281363.7531211171
2020,CO2e,Commercial,Health Care and Social Assistance,Old,178177.87117485685
2020,CO2e,Commercial,Information and Cultural Industries,Old,13740.76068029722
2020,CO2e,Commercial,Offices,Old,992390.4746086311
2020,CO2e,Commercial,Other Services,Old,115997.00747604002
2020,CO2e,Commercial,Retail Trade,Old,357386.3966328979
2020,CO2e,Commercial,Transportation and Warehousing,Old,62735.94728428745
2020,CO2e,Commercial,Wholesale Trade,Old,221873.8868420478
2020,CO2e,Industry,,,831126.695524422
2020,CO2e,Public,Hospital,Old,97079.03548941636
2020,CO2e,Public,Municipality,Old,78469.36349791233
2020,CO2e,Public,Post-Secondary Institution,Old,144158.49201835843
2020,CO2e,Public,School board,Old,149397.64484348448
2020,CO2e,Residential,Apartments,Old,1501978.989933119
2020,CO2e,Residential,Single Attached,Old,742190.1273543059
2020,CO2e,Residential,Single Detached,Old,1667665.0933044278
2020,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0459225244173425
2020,N2O,Commercial,Accommodation and Food Services,Old,2.4028610794951373
2020,N2O,Commercial,Educational Services,Old,6.065490276188232
2020,N2O,Commercial,Health Care and Social Assistance,Old,3.9415391230872596
2020,N2O,Commercial,Information and Cultural Industries,Old,0.307713540637321
2020,N2O,Commercial,Offices,Old,24.318214307523668
2020,N2O,Commercial,Other Services,Old,2.4373429009895955
2020,N2O,Commercial,Retail Trade,Old,7.54441629518109
2020,N2O,Commercial,Transportation and Warehousing,Old,1.3996392949534182
2020,N2O,Commercial,Wholesale Trade,Old,4.847180835256241
2020,N2O,Industry,,,15.440190690901035
2020,N2O,Public,Hospital,Old,1.7040708211808213
2020,N2O,Public,Municipality,Old,1.4959709160859025
2020,N2O,Public,Post-Secondary Institution,Old,2.6702165177064985
2020,N2O,Public,School board,Old,2.861276453337708
2020,N2O,Residential,Apartments,Old,33.03282899862188
2020,N2O,Residential,Single Attached,Old,15.43095296803942
